"TIME","GEO","SEX","UNIT","Value"
"2000W06","Romania","Total","Number",":"
"2000W06","Slovenia","Total","Number","492"
"2000W06","Slovakia","Total","Number","1,261"
"2000W06","Finland","Total","Number","1,076"
"2000W06","Sweden","Total","Number","2,050"
"2000W06","Iceland","Total","Number","22"
"2000W06","Liechtenstein","Total","Number","4"
"2000W06","Norway","Total","Number","941"
"2000W06","Switzerland","Total","Number","1,371"
"2000W06","United Kingdom","Total","Number",":"
"2000W06","Montenegro","Total","Number",":"
"2000W06","Albania","Total","Number",":"
"2000W06","Serbia","Total","Number","2,170"
"2000W06","Andorra","Total","Number",":"
"2000W06","Armenia","Total","Number",":"
"2000W06","Georgia","Total","Number",":"
"2000W07","Belgium","Total","Number","2,168"
"2000W07","Bulgaria","Total","Number","2,425"
"2000W07","Czechia","Total","Number",":"
"2000W07","Denmark","Total","Number",":"
"2000W07","Germany (until 1990 former territory of the FRG)","Total","Number","18,146"
"2000W07","Estonia","Total","Number","432"
"2000W07","Ireland","Total","Number",":"
"2000W07","Greece","Total","Number",":"
"2000W07","Spain","Total","Number","7,514"
"2000W07","France","Total","Number",":"
"2000W07","Croatia","Total","Number","1,084"
"2000W07","Italy","Total","Number",":"
"2000W07","Cyprus","Total","Number",":"
"2000W07","Latvia","Total","Number","676"
"2000W07","Lithuania","Total","Number","898"
"2000W07","Luxembourg","Total","Number","82"
"2000W07","Hungary","Total","Number","2,594"
"2000W07","Malta","Total","Number",":"
"2000W07","Netherlands","Total","Number","2,776"
"2000W07","Austria","Total","Number","1,666"
"2000W07","Poland","Total","Number","7,841"
"2000W07","Portugal","Total","Number","2,425"
"2000W07","Romania","Total","Number",":"
"2000W07","Slovenia","Total","Number","428"
"2000W07","Slovakia","Total","Number","1,147"
"2000W07","Finland","Total","Number","1,050"
"2000W07","Sweden","Total","Number","1,882"
"2000W07","Iceland","Total","Number","31"
"2000W07","Liechtenstein","Total","Number","1"
"2000W07","Norway","Total","Number","932"
"2000W07","Switzerland","Total","Number","1,343"
"2000W07","United Kingdom","Total","Number",":"
"2000W07","Montenegro","Total","Number",":"
"2000W07","Albania","Total","Number",":"
"2000W07","Serbia","Total","Number","2,059"
"2000W07","Andorra","Total","Number",":"
"2000W07","Armenia","Total","Number",":"
"2000W07","Georgia","Total","Number",":"
"2000W08","Belgium","Total","Number","2,127"
"2000W08","Bulgaria","Total","Number","2,421"
"2000W08","Czechia","Total","Number",":"
"2000W08","Denmark","Total","Number",":"
"2000W08","Germany (until 1990 former territory of the FRG)","Total","Number","17,432"
"2000W08","Estonia","Total","Number","408"
"2000W08","Ireland","Total","Number",":"
"2000W08","Greece","Total","Number",":"
"2000W08","Spain","Total","Number","7,219"
"2000W08","France","Total","Number",":"
"2000W08","Croatia","Total","Number","1,156"
"2000W08","Italy","Total","Number",":"
"2000W08","Cyprus","Total","Number",":"
"2000W08","Latvia","Total","Number","682"
"2000W08","Lithuania","Total","Number","874"
"2000W08","Luxembourg","Total","Number","84"
"2000W08","Hungary","Total","Number","2,596"
"2000W08","Malta","Total","Number",":"
"2000W08","Netherlands","Total","Number","2,875"
"2000W08","Austria","Total","Number","1,628"
"2000W08","Poland","Total","Number","7,532"
"2000W08","Portugal","Total","Number","2,339"
"2000W08","Romania","Total","Number",":"
"2000W08","Slovenia","Total","Number","390"
"2000W08","Slovakia","Total","Number","1,050"
"2000W08","Finland","Total","Number","992"
"2000W08","Sweden","Total","Number","1,892"
"2000W08","Iceland","Total","Number","39"
"2000W08","Liechtenstein","Total","Number","5"
"2000W08","Norway","Total","Number","884"
"2000W08","Switzerland","Total","Number","1,221"
"2000W08","United Kingdom","Total","Number",":"
"2000W08","Montenegro","Total","Number",":"
"2000W08","Albania","Total","Number",":"
"2000W08","Serbia","Total","Number","2,010"
"2000W08","Andorra","Total","Number",":"
"2000W08","Armenia","Total","Number",":"
"2000W08","Georgia","Total","Number",":"
"2000W09","Belgium","Total","Number","2,055"
"2000W09","Bulgaria","Total","Number","2,396"
"2000W09","Czechia","Total","Number",":"
"2000W09","Denmark","Total","Number",":"
"2000W09","Germany (until 1990 former territory of the FRG)","Total","Number","17,221"
"2000W09","Estonia","Total","Number","364"
"2000W09","Ireland","Total","Number",":"
"2000W09","Greece","Total","Number",":"
"2000W09","Spain","Total","Number","7,014"
"2000W09","France","Total","Number",":"
"2000W09","Croatia","Total","Number","1,074"
"2000W09","Italy","Total","Number",":"
"2000W09","Cyprus","Total","Number",":"
"2000W09","Latvia","Total","Number","648"
"2000W09","Lithuania","Total","Number","880"
"2000W09","Luxembourg","Total","Number","76"
"2000W09","Hungary","Total","Number","2,639"
"2000W09","Malta","Total","Number",":"
"2000W09","Netherlands","Total","Number","2,674"
"2000W09","Austria","Total","Number","1,566"
"2000W09","Poland","Total","Number","7,526"
"2000W09","Portugal","Total","Number","2,139"
"2000W09","Romania","Total","Number",":"
"2000W09","Slovenia","Total","Number","363"
"2000W09","Slovakia","Total","Number","1,009"
"2000W09","Finland","Total","Number","1,104"
"2000W09","Sweden","Total","Number","1,832"
"2000W09","Iceland","Total","Number","53"
"2000W09","Liechtenstein","Total","Number","10"
"2000W09","Norway","Total","Number","872"
"2000W09","Switzerland","Total","Number","1,198"
"2000W09","United Kingdom","Total","Number",":"
"2000W09","Montenegro","Total","Number",":"
"2000W09","Albania","Total","Number",":"
"2000W09","Serbia","Total","Number","1,931"
"2000W09","Andorra","Total","Number",":"
"2000W09","Armenia","Total","Number",":"
"2000W09","Georgia","Total","Number",":"
"2000W10","Belgium","Total","Number","2,029"
"2000W10","Bulgaria","Total","Number","2,360"
"2000W10","Czechia","Total","Number",":"
"2000W10","Denmark","Total","Number",":"
"2000W10","Germany (until 1990 former territory of the FRG)","Total","Number","16,908"
"2000W10","Estonia","Total","Number","395"
"2000W10","Ireland","Total","Number",":"
"2000W10","Greece","Total","Number",":"
"2000W10","Spain","Total","Number","6,918"
"2000W10","France","Total","Number",":"
"2000W10","Croatia","Total","Number","1,063"
"2000W10","Italy","Total","Number",":"
"2000W10","Cyprus","Total","Number",":"
"2000W10","Latvia","Total","Number","653"
"2000W10","Lithuania","Total","Number","834"
"2000W10","Luxembourg","Total","Number","87"
"2000W10","Hungary","Total","Number","2,725"
"2000W10","Malta","Total","Number",":"
"2000W10","Netherlands","Total","Number","2,690"
"2000W10","Austria","Total","Number","1,524"
"2000W10","Poland","Total","Number","7,263"
"2000W10","Portugal","Total","Number","2,183"
"2000W10","Romania","Total","Number",":"
"2000W10","Slovenia","Total","Number","357"
"2000W10","Slovakia","Total","Number","986"
"2000W10","Finland","Total","Number","1,036"
"2000W10","Sweden","Total","Number","1,813"
"2000W10","Iceland","Total","Number","33"
"2000W10","Liechtenstein","Total","Number","2"
"2000W10","Norway","Total","Number","832"
"2000W10","Switzerland","Total","Number","1,179"
"2000W10","United Kingdom","Total","Number",":"
"2000W10","Montenegro","Total","Number",":"
"2000W10","Albania","Total","Number",":"
"2000W10","Serbia","Total","Number","2,037"
"2000W10","Andorra","Total","Number",":"
"2000W10","Armenia","Total","Number",":"
"2000W10","Georgia","Total","Number",":"
"2000W11","Belgium","Total","Number","2,012"
"2000W11","Bulgaria","Total","Number","2,227"
"2000W11","Czechia","Total","Number",":"
"2000W11","Denmark","Total","Number",":"
"2000W11","Germany (until 1990 former territory of the FRG)","Total","Number","16,227"
"2000W11","Estonia","Total","Number","369"
"2000W11","Ireland","Total","Number",":"
"2000W11","Greece","Total","Number",":"
"2000W11","Spain","Total","Number","6,647"
"2000W11","France","Total","Number",":"
"2000W11","Croatia","Total","Number","954"
"2000W11","Italy","Total","Number",":"
"2000W11","Cyprus","Total","Number",":"
"2000W11","Latvia","Total","Number","654"
"2000W11","Lithuania","Total","Number","851"
"2000W11","Luxembourg","Total","Number","60"
"2000W11","Hungary","Total","Number","2,587"
"2000W11","Malta","Total","Number",":"
"2000W11","Netherlands","Total","Number","2,679"
"2000W11","Austria","Total","Number","1,528"
"2000W11","Poland","Total","Number","6,996"
"2000W11","Portugal","Total","Number","1,966"
"2000W11","Romania","Total","Number",":"
"2000W11","Slovenia","Total","Number","374"
"2000W11","Slovakia","Total","Number","953"
"2000W11","Finland","Total","Number","967"
"2000W11","Sweden","Total","Number","1,751"
"2000W11","Iceland","Total","Number","37"
"2000W11","Liechtenstein","Total","Number","2"
"2000W11","Norway","Total","Number","821"
"2000W11","Switzerland","Total","Number","1,222"
"2000W11","United Kingdom","Total","Number",":"
"2000W11","Montenegro","Total","Number",":"
"2000W11","Albania","Total","Number",":"
"2000W11","Serbia","Total","Number","1,941"
"2000W11","Andorra","Total","Number",":"
"2000W11","Armenia","Total","Number",":"
"2000W11","Georgia","Total","Number",":"
"2000W12","Belgium","Total","Number","1,931"
"2000W12","Bulgaria","Total","Number","2,306"
"2000W12","Czechia","Total","Number",":"
"2000W12","Denmark","Total","Number",":"
"2000W12","Germany (until 1990 former territory of the FRG)","Total","Number","16,340"
"2000W12","Estonia","Total","Number","322"
"2000W12","Ireland","Total","Number",":"
"2000W12","Greece","Total","Number",":"
"2000W12","Spain","Total","Number","6,566"
"2000W12","France","Total","Number",":"
"2000W12","Croatia","Total","Number","1,004"
"2000W12","Italy","Total","Number",":"
"2000W12","Cyprus","Total","Number",":"
"2000W12","Latvia","Total","Number","620"
"2000W12","Lithuania","Total","Number","778"
"2000W12","Luxembourg","Total","Number","90"
"2000W12","Hungary","Total","Number","2,588"
"2000W12","Malta","Total","Number",":"
"2000W12","Netherlands","Total","Number","2,542"
"2000W12","Austria","Total","Number","1,501"
"2000W12","Poland","Total","Number","7,128"
"2000W12","Portugal","Total","Number","1,995"
"2000W12","Romania","Total","Number",":"
"2000W12","Slovenia","Total","Number","345"
"2000W12","Slovakia","Total","Number","960"
"2000W12","Finland","Total","Number","962"
"2000W12","Sweden","Total","Number","1,852"
"2000W12","Iceland","Total","Number","33"
"2000W12","Liechtenstein","Total","Number","8"
"2000W12","Norway","Total","Number","769"
"2000W12","Switzerland","Total","Number","1,053"
"2000W12","United Kingdom","Total","Number",":"
"2000W12","Montenegro","Total","Number",":"
